symbol,start,open_low,open_low_date,close_high,close_high_date,delta,end
string,datetime,float,datetime,float,datetime,float,datetime
,,,,,,,
table_goog.csv,20041207,175.95,20041207,185.29,20041220,9.34,20041221
table_goog.csv,20130114,737.08,20130114,754.19,20130124,17.11,20130128
table_goog.csv,20090113,311.77,20090113,332.25,20090127,20.48,20090127
table_goog.csv,20050323,177.97,20050323,189.14,20050406,11.17,20050406
table_goog.csv,20110315,557.51,20110315,586.43,20110324,28.92,20110329
table_goog.csv,20070726,507.07,20070726,524.25,20070808,17.18,20070809
table_goog.csv,20051011,310.61,20051011,348.47,20051024,37.86,20051025
table_goog.csv,20060524,377.35,20060524,389.8,20060606,12.45,20060607
table_goog.csv,20051110,378.36,20051110,423.05,20051123,44.69,20051123
table_goog.csv,20110131,603.6,20110131,628.0,20110214,24.4,20110214
table_goog.csv,20130129,746.75,20130129,785.29,20130208,38.54,20130212
table_goog.csv,20101207,591.35,20101207,603.3,20101221,11.95,20101221
table_goog.csv,20050107,190.67,20050107,203.74,20050118,13.07,20050121
table_goog.csv,20120111,623.5,20120111,639.51,20120119,16.01,20120125
table_goog.csv,20091120,569.39,20091120,589.14,20091201,19.75,20091204
table_goog.csv,20070301,442.67,20070301,457.21,20070306,14.54,20070315
table_goog.csv,20121114,660.66,20121114,683.74,20121128,23.08,20121128
table_goog.csv,20070213,459.11,20070213,475.81,20070221,16.7,20070227
table_goog.csv,20130227,794.96,20130227,837.82,20130305,42.86,20130313
